msoa11,mosa_residential_meanprice
E02000499,633739.2920121918
E02000500,646837.9978838041
E02000501,565208.4403690253
E02000502,487256.3472321659
E02000503,550920.5619761309
E02000504,744413.3958212973
E02000506,753629.8796335266
E02000507,527310.4985526771
E02000508,448803.27069586405
E02000509,387996.0404360089
E02000510,503836.8138156881
E02000511,470655.4794404348
E02000512,412841.1188451875
E02000513,411646.24338595243
E02000514,465734.4497615827
E02000515,345935.5187720382
E02000516,433548.9726027397
E02000517,412815.91021892853
E02000518,431632.1961662613
E02000519,366603.22222222225
E02000520,358210.54334801546
E02000521,402398.0207809091
E02000522,432018.2159929442
E02000523,444415.6189403239
E02000524,430592.7184749499
E02000525,403681.0707139048
E02000526,1324720.532624695
E02000528,476218.7391364972
E02000529,471769.69160446286
E02000530,472916.66667
E02000531,560137.4230975109
E02000532,1318615.7994022765
E02000533,1000326.4380302262
E02000534,600516.4532885947
E02000535,507674.6693118519
E02000536,618102.2299222798
E02000537,523543.8344946269
E02000538,457273.23943661974
E02000539,462602.35816738184
E02000540,436010.58467741933
E02000541,438475.00000199996
E02000542,345913.5882352941
E02000543,421068.3353192143
E02000544,532582.1531750667
E02000545,495783.95096539473
E02000546,351459.20165290695
E02000547,392508.4163640328
E02000548,356984.62212441437
E02000549,421977.5461205172
E02000550,380335.63448564423
E02000551,367430.2370206383
E02000552,362734.15187426005
E02000553,478221.9590643275
E02000554,529760.0284804415
E02000555,743656.37509675
E02000556,679136.9001797925
E02000557,663479.189283755
E02000558,624692.7899706897
E02000559,1022393.7318661745
E02000560,517324.020351875
E02000561,831843.7542532096
E02000562,879688.3825639109
E02000563,741778.1774719022
E02000564,723215.2334714712
E02000565,689204.9550338271
E02000566,1155119.5689311111
E02000567,789808.3284496281
E02000568,543529.7706588316
E02000569,885645.0046001439
E02000570,1230418.2914187172
E02000571,730280.24094935
E02000572,638144.6401770861
E02000573,1490966.2600933968
E02000574,1129546.7540568335
E02000575,879858.8644623993
E02000576,791032.4616100102
E02000577,596242.2380952381
E02000579,1299730.4229388442
E02000580,1408871.5910346583
E02000581,1378125.0
E02000582,2572673.3322353954
E02000583,3556619.0296225296
E02000584,2850854.305193873
E02000585,3469743.416722
E02000586,3618029.6310668318
E02000587,3335557.6771922093
E02000588,3283283.6966008185
E02000589,1598624.7661117609
E02000590,2618668.275458713
E02000591,1003909.0466963769
E02000592,1916011.8474584254
E02000593,1353087.2390812
E02000594,2598878.0085440315
E02000595,2961358.998123131
E02000596,2496791.2287195125
E02000597,1288443.0354317648
E02000598,924598.5551588535
E02000599,1698009.7255012807
E02000600,728225.8359382072
E02000601,786490.8081804116
E02000602,689162.5026819968
E02000603,555002.2608711235
E02000604,664928.5480762069
E02000605,725277.5248825424
E02000606,569915.2749075193
E02000607,718345.6998355072
E02000608,510992.44948684593
E02000609,644975.4166653889
E02000610,533173.2685383643
E02000611,777373.214287612
E02000612,680983.2708832318
E02000613,641751.4914424713
E02000614,469107.8785903673
E02000615,491671.72924966883
E02000616,439838.56323971227
E02000617,478467.2929960104
E02000619,659111.9721795019
E02000620,771459.2741841908
E02000621,745807.6788148961
E02000622,659965.6444692592
E02000623,805757.728450625
E02000624,564086.220581007
E02000625,462587.60646995285
E02000626,561649.1419719481
E02000627,696144.4672375
E02000628,508854.73607084295
E02000629,724382.5984249377
E02000630,957173.3497066791
E02000631,759463.6083141464
E02000632,687583.2402425
E02000633,589717.2530610638
E02000634,655650.0355596446
E02000635,705542.544528421
E02000636,1239222.815790909
E02000637,625938.2031450258
E02000638,506340.6264977949
E02000639,447138.8070201105
E02000640,793442.5581028293
E02000641,502613.18274632853
E02000642,707666.0714375138
E02000643,609638.2343625824
E02000644,606859.261315394
E02000645,532802.3803006363
E02000646,647436.7419534763
E02000647,592969.4511129747
E02000648,454932.68089652446
E02000649,555301.1310969269
E02000650,569363.60586237
E02000651,614595.9932479503
E02000652,563097.1991873983
E02000653,476563.4765618055
E02000654,374209.43647763797
E02000655,571483.402416592
E02000657,501932.3092071494
E02000658,634737.8506164383
E02000659,702951.8087975001
E02000660,669937.4222205387
E02000661,770260.0466938182
E02000662,484812.6622286451
E02000663,661382.0838551612
E02000664,425720.0682252665
E02000665,577523.5681992815
E02000666,660989.7867225439
E02000667,700358.7707067925
E02000668,583009.5065450382
E02000669,518374.95696361846
E02000670,466668.1935183186
E02000671,597218.7666094975
E02000672,380499.1438128915
E02000673,648901.8366416062
E02000674,608086.2747594736
E02000675,482848.560520829
E02000676,589040.5100639694
E02000677,566201.060633769
E02000678,391602.3109259524
E02000679,431099.9170522166
E02000680,592859.8231516854
E02000681,445957.5555295333
E02000682,427075.14343524136
E02000683,367371.4121793846
E02000685,434949.0015278613
E02000686,328937.23913120566
E02000687,568369.0547491803
E02000689,945741.3905888442
E02000690,2558247.629917167
E02000691,1030316.7934054717
E02000692,1690589.1820380343
E02000693,525637.7160035858
E02000694,773425.3176882778
E02000695,575322.8656061207
E02000696,397498.2243860526
E02000697,825184.6700829876
E02000698,1352792.9797729729
E02000699,765665.2897421053
E02000700,409866.0939169412
E02000701,440463.5085777639
E02000702,368010.2621618182
E02000703,876388.7014014184
E02000704,620176.7316477884
E02000705,474374.1667075
E02000706,415982.93356123875
E02000707,386440.21561088605
E02000708,612219.1398170886
E02000709,676085.2724642857
E02000710,443492.26098552527
E02000711,396142.7450782843
E02000712,419991.66419688234
E02000713,482977.4009556154
E02000714,579120.3666798387
E02000715,360203.00952428574
E02000716,558971.7901988776
E02000717,343104.36241647654
E02000718,381444.4444461905
E02000719,639276.3546489113
E02000720,645578.2580402632
E02000721,522618.92731542373
E02000722,426262.7480896694
E02000723,444206.63265306124
E02000724,434966.94444399996
E02000725,442205.29621878156
E02000726,537753.4423573253
E02000727,418857.14286
E02000728,346607.1428553571
E02000729,480922.48890582286
E02000730,363699.0
E02000731,417079.98252340424
E02000732,426791.89814936504
E02000733,412067.4173091304
E02000734,421590.1960770588
E02000735,402143.6477257143
E02000736,392998.876389452
E02000737,424009.84836832405
E02000738,441571.66807975614
E02000739,360506.79042014125
E02000740,388403.8097664286
E02000741,428292.95101509435
E02000742,381591.85520411766
E02000743,348123.67288414633
E02000744,355747.63430897956
E02000745,383265.74134039215
E02000746,444877.86117265304
E02000747,420229.39560576924
E02000748,383895.6611573554
E02000749,380420.99649122806
E02000750,455515.66138108633
E02000751,661139.4686637004
E02000752,369069.18366917805
E02000753,447110.48746488
E02000754,532544.005631515
E02000755,446885.8870967742
E02000756,551579.0744214935
E02000757,546977.4237677398
E02000758,520394.3295622549
E02000759,591201.2731970638
E02000760,506273.121969931
E02000762,558071.999254174
E02000763,473944.0269147826
E02000764,706511.7792155439
E02000765,473646.06116731884
E02000767,445688.4995115603
E02000768,1071327.1950167676
E02000769,382634.5830946415
E02000770,414303.29285330506
E02000772,449236.5555883784
