msoa11,average_retail_lifetime
E02000502,2326.392
E02000503,2956.92
E02000504,2508.751479289941
E02000506,2134.0601265822784
E02000507,2474.2875
E02000508,2835.5278350515464
E02000509,2808.1505281690143
E02000510,2527.207762557078
E02000511,2435.8837920489295
E02000512,2118.115987460815
E02000513,2365.6173285198556
E02000514,2026.8728717366628
E02000515,2124.154746423927
E02000516,1970.438202247191
E02000517,2305.011976047904
E02000518,2242.238578680203
E02000519,2788.782894736842
E02000520,2275.891131498471
E02000521,2268.211267605634
E02000522,2292.351738241309
E02000523,2316.653333333333
E02000524,2507.325038880249
E02000525,2117.726923076923
E02000526,3563.3333333333335
E02000528,2862.464716006885
E02000529,4092.275641025641
E02000530,4141.071428571428
E02000531,3262.484496124031
E02000532,3563.2477876106195
E02000533,4232.3050847457625
E02000534,3508.5473251028807
E02000535,4144.778571428571
E02000536,2940.2736486486488
